Data;Fechamento;Volume
19-jan-15;2.71;145.300
20-jan-15;2.72;364.200
21-jan-15;2.67;307.400
22-jan-15;2.62;1.226.400
23-jan-15;2.58;646.400
26-jan-15;2.64;121.700
27-jan-15;2.64;99.900
28-jan-15;2.61;37.500
29-jan-15;2.7;62.000
30-jan-15;2.71;50.200
2-fev-15;2.76;62.000
3-fev-15;2.84;109.200
4-fev-15;2.8;48.800
5-fev-15;2.87;74.500
6-fev-15;2.84;53.600
9-fev-15;2.9;139.400
10-fev-15;2.95;151.000
11-fev-15;2.99;224.800
12-fev-15;3.04;2.555.500
13-fev-15;2.95;347.100
18-fev-15;3.02;105.100
19-fev-15;2.92;209.700
20-fev-15;3,00;94.500
23-fev-15;3,00;106.600
24-fev-15;2.98;412.900
25-fev-15;3.04;176.600
26-fev-15;3.13;101.200
27-fev-15;3.16;157.000
2-mar-15;3.26;168.800
3-mar-15;3.26;1.081.600
4-mar-15;3.36;239.400
5-mar-15;3.4;194.900
6-mar-15;3.46;79.400
9-mar-15;3.64;735.700
10-mar-15;3.52;335.500
11-mar-15;3.51;167.400
12-mar-15;3.51;596.800
13-mar-15;3.61;335.200
16-mar-15;3.54;353.400
17-mar-15;3.53;724.800
18-mar-15;3.52;635.800
19-mar-15;3.61;432.400
20-mar-15;3.47;546.700
23-mar-15;3.51;310.300
24-mar-15;3.44;213.700
25-mar-15;3.61;231.000
26-mar-15;3.53;73.100
27-mar-15;3.59;121.100
30-mar-15;3.65;80.800
31-mar-15;3.64;156.300
1-abr-15;3.65;74.300
2-abr-15;3.63;66.000
6-abr-15;3.68;73.500
7-abr-15;3.66;138.900
8-abr-15;3.68;73.000
9-abr-15;3.67;65.800
10-abr-15;3.62;75.700
13-abr-15;3.63;102.000
14-abr-15;3.62;42.400
15-abr-15;3.64;47.600
16-abr-15;3.65;108.700
17-abr-15;3.63;77.100
20-abr-15;3.6;48.500
22-abr-15;3.64;131.600
23-abr-15;3.68;53.200
24-abr-15;3.67;47.200
27-abr-15;3.58;151.200
28-abr-15;3.64;148.200
29-abr-15;3.68;49.500
30-abr-15;3.66;320.900
4-mai-15;3.74;149.900
5-mai-15;3.79;225.600
6-mai-15;3.69;196.000
7-mai-15;3.68;181.300
8-mai-15;3.8;158.200
11-mai-15;3.89;111.200
12-mai-15;3.83;190.800
13-mai-15;4,00;136.300
14-mai-15;3.98;87.900
15-mai-15;4.04;209.400
18-mai-15;3.96;137.000
19-mai-15;3.92;82.100
20-mai-15;3.92;22.300
21-mai-15;3.84;360.000
22-mai-15;3.91;57.900
25-mai-15;4.01;211.400
26-mai-15;3.92;63.900
27-mai-15;3.96;51.900
28-mai-15;3.85;39.200
29-mai-15;3.87;47.500
1-jun-15;3.82;177.900
2-jun-15;3.78;112.400
3-jun-15;3.77;109.600
5-jun-15;3.85;115.100
8-jun-15;3.88;103.300
9-jun-15;3.92;71.000
10-jun-15;3.86;63.900
11-jun-15;3.78;39.300
12-jun-15;3.75;41.500
15-jun-15;3.82;48.400
16-jun-15;3.75;191.600
17-jun-15;3.64;117.500
18-jun-15;3.61;439.800
19-jun-15;3.65;705.200
22-jun-15;3.71;178.700
23-jun-15;3.77;160.800
24-jun-15;3.72;188.800
25-jun-15;3.71;309.900
26-jun-15;3.56;482.700
29-jun-15;3.7;105.900
30-jun-15;3.79;111.400
1-jul-15;3.72;118.400
2-jul-15;3.74;19.000
3-jul-15;3.75;50.900
6-jul-15;3.8;41.900
7-jul-15;3.72;50.900
8-jul-15;3.68;142.700
10-jul-15;3.78;266.600
13-jul-15;3.88;212.000
14-jul-15;3.89;54.800
15-jul-15;3.85;142.300
16-jul-15;3.96;111.400
17-jul-15;3.91;69.400
20-jul-15;3.89;59.000
21-jul-15;3.83;106.900
22-jul-15;3.93;124.800
23-jul-15;4.13;381.900
24-jul-15;4.11;143.100
27-jul-15;4.06;72.300
28-jul-15;4.11;66.200
29-jul-15;4.02;48.700
30-jul-15;4.1;22.400
31-jul-15;4.14;28.700
3-ago-15;4.18;36.700
4-ago-15;4.14;63.900
5-ago-15;4.21;43.500
6-ago-15;4.09;35.500
7-ago-15;4,00;111.100
10-ago-15;4.02;36.600
11-ago-15;4.01;88.200
12-ago-15;3.87;182.500
13-ago-15;3.9;143.000
14-ago-15;3.95;546.300
17-ago-15;3.95;27.000
18-ago-15;3.97;831.300
19-ago-15;3.93;781.000
20-ago-15;3.91;19.400
21-ago-15;3.78;90.900
24-ago-15;3.69;171.800
25-ago-15;3.74;111.300
26-ago-15;3.87;77.000
27-ago-15;3.94;35.600
28-ago-15;3.9;344.300
31-ago-15;3.85;938.500
1-set-15;3.81;40.900
2-set-15;3.99;116.900
3-set-15;4.11;294.200
4-set-15;4.05;47.700
8-set-15;4.12;75.200
9-set-15;4.08;40.400
10-set-15;4.1;49.500
11-set-15;4.06;386.000
14-set-15;4.17;77.400
15-set-15;4.24;60.300
16-set-15;4.23;83.400
17-set-15;4.19;30.400
18-set-15;4.08;114.200
21-set-15;4.06;36.700
22-set-15;4.13;74.700
23-set-15;4.08;79.000
24-set-15;4,00;44.900
25-set-15;4.16;617.800
28-set-15;4.08;41.500
29-set-15;4.08;101.600
30-set-15;4.25;120.900
1-out-15;4.47;471.600
2-out-15;4.32;320.500
5-out-15;4.45;171.500
6-out-15;4.42;48.200
7-out-15;4.44;227.000
8-out-15;4.35;25.500
9-out-15;4.32;74.900
13-out-15;4.4;42.100
14-out-15;4.31;177.900
15-out-15;4.26;39.000
16-out-15;4.29;138.500
19-out-15;4.35;17.600
20-out-15;4.24;43.300
21-out-15;4,00;84.600
22-out-15;4.27;52.100
23-out-15;4.25;71.500
26-out-15;4.34;19.100
27-out-15;4.32;28.300
28-out-15;4.2;95.400
