Data;Fechamento;Volume
20-dez-17;3.08;144.900
21-dez-17;3.15;121.000
22-dez-17;3.17;57.000
26-dez-17;3.2;81.300
27-dez-17;3.16;59.300
28-dez-17;3.14;47.000
2-jan-18;3.27;151.700
3-jan-18;3.24;126.500
4-jan-18;3.28;200.000
5-jan-18;3.22;99.500
8-jan-18;3.23;135.000
9-jan-18;3.24;59.400
10-jan-18;3.19;128.500
11-jan-18;3.14;223.700
12-jan-18;3.13;121.600
15-jan-18;3.13;110.600
16-jan-18;3.09;206.300
17-jan-18;3.07;286.500
18-jan-18;3.12;439.500
19-jan-18;3.14;137.000
22-jan-18;3.18;77.500
23-jan-18;3.21;203.300
24-jan-18;3.23;227.100
26-jan-18;3.23;192.800
29-jan-18;3.33;291.200
30-jan-18;3.27;102.100
31-jan-18;3.23;238.700
1-fev-18;3.22;161.800
2-fev-18;3.16;225.400
5-fev-18;3.15;61.500
6-fev-18;3.19;114.600
7-fev-18;3.24;130.400
8-fev-18;3.12;166.200
9-fev-18;3.13;276.000
14-fev-18;3.15;86.500
15-fev-18;3.18;28.700
16-fev-18;3.18;39.400
19-fev-18;3.15;61.600
20-fev-18;3.15;86.300
21-fev-18;3.23;773.000
22-fev-18;3.19;61.900
23-fev-18;3.23;366.200
26-fev-18;3.25;179.000
27-fev-18;3.2;115.500
28-fev-18;3.14;156.600
1-mar-18;3.2;122.800
2-mar-18;3.18;125.400
5-mar-18;3.17;37.800
6-mar-18;3.17;146.100
7-mar-18;3.25;307.300
8-mar-18;3.21;89.200
9-mar-18;3.27;118.500
12-mar-18;3.28;107.100
13-mar-18;3.32;150.600
14-mar-18;3.37;165.600
15-mar-18;3.25;236.300
16-mar-18;3.28;104.100
19-mar-18;3.21;182.300
20-mar-18;3.19;158.800
21-mar-18;3.22;69.700
22-mar-18;3.17;28.500
23-mar-18;3.21;78.800
26-mar-18;3.24;72.500
27-mar-18;3.26;73.100
28-mar-18;3.29;208.400
29-mar-18;3.33;80.400
2-abr-18;3.25;108.600
3-abr-18;3.23;160.900
4-abr-18;3.37;197.000
5-abr-18;3.38;179.200
6-abr-18;3.4;74.800
9-abr-18;3.37;88.500
10-abr-18;3.38;70.800
11-abr-18;3.33;39.000
12-abr-18;3.32;31.600
13-abr-18;3.32;110.000
16-abr-18;3.4;175.500
17-abr-18;3.39;43.200
18-abr-18;3.36;110.200
19-abr-18;3.34;54.400
20-abr-18;3.45;102.400
23-abr-18;3.39;70.800
24-abr-18;3.38;119.500
25-abr-18;3.29;152.800
26-abr-18;3.34;112.300
27-abr-18;3.37;102.300
30-abr-18;3.35;88.600
2-mai-18;3.39;76.000
3-mai-18;3.37;42.300
4-mai-18;3.29;113.400
7-mai-18;3.29;130.700
8-mai-18;3.31;133.600
9-mai-18;3.3;49.600
10-mai-18;3.34;122.600
11-mai-18;3.34;106.000
14-mai-18;3.31;38.400
15-mai-18;3.42;269.600
16-mai-18;3.49;206.200
17-mai-18;3.49;203.800
18-mai-18;3.48;214.100
21-mai-18;3.64;316.400
22-mai-18;3.55;121.700
23-mai-18;3.55;41.300
24-mai-18;3.47;74.800
25-mai-18;3.42;62.800
28-mai-18;3.25;192.900
29-mai-18;3.26;61.300
30-mai-18;3.38;104.300
1-jun-18;3.35;195.700
4-jun-18;3.31;261.200
5-jun-18;3.28;86.000
6-jun-18;3.28;73.900
7-jun-18;3.2;160.300
8-jun-18;3.2;61.400
11-jun-18;3.17;149.300
12-jun-18;3.26;39.600
13-jun-18;3.18;39.000
14-jun-18;3.2;17.600
15-jun-18;3.18;56.100
18-jun-18;3.16;70.900
19-jun-18;3.16;41.300
20-jun-18;3.12;100.100
21-jun-18;3.11;46.500
22-jun-18;3.11;56.800
25-jun-18;3.11;43.500
26-jun-18;3.1;33.400
27-jun-18;3.1;97.500
28-jun-18;3.1;48.700
29-jun-18;3.13;55.300
2-jul-18;3.12;12.900
3-jul-18;3.14;84.500
4-jul-18;3.1;59.900
5-jul-18;3.13;38.700
6-jul-18;3.14;26.600
10-jul-18;3.13;65.200
11-jul-18;3.2;57.500
12-jul-18;3.22;162.400
13-jul-18;3.26;29.900
16-jul-18;3.28;36.800
17-jul-18;3.29;62.500
18-jul-18;3.3;33.700
19-jul-18;3.3;31.500
20-jul-18;3.26;106.100
23-jul-18;3.29;117.400
24-jul-18;3.33;35.800
25-jul-18;3.32;23.700
26-jul-18;3.29;29.700
27-jul-18;3.3;20.800
30-jul-18;3.3;87.400
31-jul-18;3.3;28.400
1-ago-18;3.29;58.800
2-ago-18;3.28;43.900
3-ago-18;3.21;67.600
6-ago-18;3.25;89.300
7-ago-18;3.19;169.800
8-ago-18;3.19;25.300
9-ago-18;3.15;45.900
10-ago-18;3.11;68.100
13-ago-18;3.14;67.000
14-ago-18;3.14;47.200
15-ago-18;3.1;40.900
16-ago-18;3.11;28.500
17-ago-18;3.1;31.500
20-ago-18;3.15;52.000
21-ago-18;3.14;55.600
22-ago-18;3.2;139.000
23-ago-18;3.3;234.800
24-ago-18;3.3;127.600
27-ago-18;3.25;145.800
28-ago-18;3.21;155.600
29-ago-18;3.27;65.400
30-ago-18;3.26;53.600
31-ago-18;3.23;67.900
3-set-18;3.33;159.000
4-set-18;3.33;135.100
5-set-18;3.31;52.500
6-set-18;3.31;23.800
10-set-18;3.28;28.800
11-set-18;3.26;75.200
12-set-18;3.26;82.700
13-set-18;3.27;51.400
14-set-18;3.24;64.700
17-set-18;3.26;15.900
18-set-18;3.25;19.700
19-set-18;3.21;32.900
20-set-18;3.24;38.600
21-set-18;3.25;26.800
24-set-18;3.2;45.400
25-set-18;3.2;29.600
26-set-18;3.23;32.200
27-set-18;3.2;34.400
28-set-18;3.19;31.000
1-out-18;3.16;45.700
2-out-18;3.2;49.700
3-out-18;3.13;204.600
4-out-18;3.12;136.600
5-out-18;3.07;240.900
8-out-18;3.08;317.500
9-out-18;3.07;482.700
10-out-18;3.1;114.900
11-out-18;3.08;117.400
15-out-18;3.07;268.400
16-out-18;3.07;105.400
17-out-18;3.08;61.800
18-out-18;3.15;192.100
19-out-18;3.16;124.200
22-out-18;3.09;148.600
23-out-18;3.08;161.500
24-out-18;3.08;153.900
25-out-18;3.13;323.400
26-out-18;3.13;289.900
29-out-18;3.15;313.300
30-out-18;3.12;162.200
31-out-18;3.18;144.200
1-nov-18;3.23;151.400
5-nov-18;3.21;157.200
6-nov-18;3.15;158.700
7-nov-18;3.1;191.100
8-nov-18;3.06;177.600
9-nov-18;3.04;159.300
12-nov-18;3,00;418.500
13-nov-18;3.02;367.300
14-nov-18;3,00;169.500
16-nov-18;3.02;96.700
19-nov-18;2.98;120.300
21-nov-18;3,00;103.900
22-nov-18;3.01;167.300
23-nov-18;3,00;213.100
26-nov-18;3,00;103.600
27-nov-18;3,00;81.600
28-nov-18;3,00;110.600
29-nov-18;2.99;353.300
30-nov-18;2.97;158.000
3-dez-18;2.98;430.700
4-dez-18;2.91;661.300
5-dez-18;2.9;225.700
6-dez-18;2.88;113.700
7-dez-18;2.86;375.700
10-dez-18;2.85;210.300
11-dez-18;2.85;201.500
12-dez-18;2.85;677.400
13-dez-18;2.91;178.700
14-dez-18;2.95;396.400
17-dez-18;2.86;282.800
18-dez-18;2.96;220.100
19-dez-18;2.97;169.700
20-dez-18;2.93;99.700
21-dez-18;2.88;301.000
26-dez-18;2.87;98.600
27-dez-18;2.81;454.900
28-dez-18;2.83;235.500
2-jan-19;2.93;302.200
3-jan-19;2.99;275.300
4-jan-19;3.01;315.500
7-jan-19;3.01;174.600
8-jan-19;3.03;237.100
9-jan-19;3.14;230.500
10-jan-19;3.11;171.400
11-jan-19;3.08;119.900
14-jan-19;3.13;448.800
15-jan-19;3.16;265.300
16-jan-19;3.15;103.000
17-jan-19;3.12;116.600
18-jan-19;3.13;109.800
21-jan-19;3.16;74.800
22-jan-19;3.12;163.300
23-jan-19;3.17;147.300
24-jan-19;3.17;222.000
28-jan-19;3.18;170.600
29-jan-19;3.15;218.000
30-jan-19;3.17;191.900
31-jan-19;3.15;404.600
1-fev-19;3.22;223.800
4-fev-19;3.3;181.200
5-fev-19;3.43;269.000
6-fev-19;3.32;214.300
7-fev-19;3.36;244.100
8-fev-19;3.29;221.200
11-fev-19;3.25;137.900
12-fev-19;3.15;207.800
13-fev-19;3.14;191.400
14-fev-19;3.18;120.800
15-fev-19;3.19;93.700
18-fev-19;3.15;61.500
19-fev-19;3.19;118.700
20-fev-19;3.2;138.900
21-fev-19;3.17;121.700
22-fev-19;3.14;198.400
25-fev-19;3.14;110.800
26-fev-19;3.21;388.700
27-fev-19;3.15;107.100
28-fev-19;3.12;129.400
1-mar-19;3.09;245.300
6-mar-19;3.12;61.200
7-mar-19;3.07;129.000
8-mar-19;3.14;67.800
11-mar-19;3.1;128.800
12-mar-19;3.08;112.400
13-mar-19;3.12;106.000
14-mar-19;3.09;102.900
15-mar-19;3.09;113.600
18-mar-19;3.1;88.300
19-mar-19;3.11;158.600
20-mar-19;3.09;630.900
21-mar-19;3.1;269.700
22-mar-19;3.04;407.300
25-mar-19;3.08;238.100
26-mar-19;3.04;136.400
27-mar-19;3.02;166.600
28-mar-19;3.1;123.400
29-mar-19;3.08;774.000
1-abr-19;3.12;218.600
2-abr-19;3.11;127.500
3-abr-19;3.08;109.900
4-abr-19;3,00;471.300
5-abr-19;3.03;309.000
8-abr-19;3.02;168.100
9-abr-19;3,00;86.200
10-abr-19;2.94;1.078.100
11-abr-19;2.92;320.100
12-abr-19;2.91;749.900
15-abr-19;2.91;465.700
16-abr-19;2.92;341.400
17-abr-19;2.99;426.900
18-abr-19;2.96;513.200
22-abr-19;2.96;396.600
23-abr-19;2.95;308.900
24-abr-19;3,00;294.400
25-abr-19;3.12;615.900
26-abr-19;3.11;186.700
29-abr-19;3.1;173.300
30-abr-19;3.02;215.800
2-mai-19;3.07;161.600
3-mai-19;3.05;481.900
6-mai-19;3.02;785.100
7-mai-19;3,00;608.300
8-mai-19;2.95;484.100
9-mai-19;3.01;410.000
10-mai-19;2.99;525.800
13-mai-19;2.89;1.488.300
14-mai-19;2.88;809.200
15-mai-19;2.85;601.800
16-mai-19;2.83;633.300
17-mai-19;2.85;419.400
20-mai-19;2.95;190.100
21-mai-19;3.02;633.200
22-mai-19;3.02;324.200
23-mai-19;2.97;183.400
24-mai-19;2.85;1.407.100
27-mai-19;2.89;514.400
28-mai-19;2.87;763.300
29-mai-19;2.86;358.000
30-mai-19;2.86;553.600
31-mai-19;2.89;517.300
3-jun-19;2.84;871.500
4-jun-19;2.85;750.900
5-jun-19;2.87;289.900
6-jun-19;2.92;459.300
7-jun-19;2.9;305.300
10-jun-19;2.91;239.900
11-jun-19;2.91;284.000
12-jun-19;2.9;268.900
13-jun-19;2.95;503.100
14-jun-19;2.89;290.300
17-jun-19;2.92;175.400
18-jun-19;2.94;206.000
19-jun-19;2.99;351.200
21-jun-19;3.05;514.800
24-jun-19;3.03;478.400
25-jun-19;3.03;524.400
26-jun-19;3.09;399.300
27-jun-19;3.05;216.900
28-jun-19;3.06;651.700
1-jul-19;3.06;364.500
2-jul-19;3.06;188.200
3-jul-19;3.08;132.000
4-jul-19;3.11;486.500
5-jul-19;3.16;232.900
8-jul-19;3.11;474.400
10-jul-19;3.11;251.500
11-jul-19;3.1;151.500
12-jul-19;3.11;233.500
15-jul-19;3.1;207.300
16-jul-19;3.15;200.400
17-jul-19;3.16;100.200
18-jul-19;3.11;175.700
19-jul-19;3.07;225.500
22-jul-19;3.05;359.000
23-jul-19;3.03;273.600
24-jul-19;3.02;437.500
25-jul-19;2.99;981.700
26-jul-19;2.94;830.000
29-jul-19;2.95;1.339.300
30-jul-19;2.97;173.000
31-jul-19;2.93;483.100
1-ago-19;2.9;651.400
2-ago-19;2.92;755.800
5-ago-19;2.9;854.000
6-ago-19;2.9;1.124.800
7-ago-19;2.9;1.131.300
8-ago-19;2.95;406.100
9-ago-19;2.89;601.900
12-ago-19;2.89;786.700
13-ago-19;2.97;448.200
14-ago-19;2.86;1.367.800
15-ago-19;2.85;1.079.000
16-ago-19;2.86;559.800
19-ago-19;2.83;827.400
20-ago-19;2.8;1.242.600
21-ago-19;2.81;739.600
22-ago-19;2.79;1.101.400
23-ago-19;2.78;1.336.600
26-ago-19;2.78;832.200
27-ago-19;2.79;1.313.900
28-ago-19;2.85;607.000
29-ago-19;2.87;644.900
30-ago-19;2.88;975.400
2-set-19;2.9;592.200
3-set-19;2.88;1.015.900
4-set-19;2.88;356.100
5-set-19;2.91;460.200
6-set-19;2.91;469.200
9-set-19;2.92;694.000
10-set-19;2.9;776.800
11-set-19;2.95;383.600
12-set-19;2.95;739.200
13-set-19;2.97;660.400
16-set-19;2.93;598.200
17-set-19;2.93;316.600
18-set-19;2.97;594.700
19-set-19;2.94;520.600
20-set-19;2.89;1.222.100
23-set-19;2.95;603.800
24-set-19;2.91;689.000
25-set-19;2.93;887.700
26-set-19;2.9;574.800
27-set-19;2.91;459.800
30-set-19;2.93;464.500
1-out-19;2.91;713.500
2-out-19;2.87;1.234.400
3-out-19;2.85;1.358.000
4-out-19;2.87;828.100
7-out-19;2.84;813.000
8-out-19;2.81;1.740.800
9-out-19;2.83;1.384.100
10-out-19;2.85;1.149.000
11-out-19;2.95;904.500
14-out-19;2.96;544.400
15-out-19;2.97;730.900
16-out-19;3.03;707.800
17-out-19;3.02;316.700
18-out-19;3.02;282.600
21-out-19;3,00;468.700
22-out-19;3.06;425.300
23-out-19;3.05;431.900
24-out-19;3.07;326.600
25-out-19;3.02;460.100
28-out-19;2.98;1.166.500
29-out-19;3,00;1.000.200
30-out-19;3.01;424.800
31-out-19;3.04;487.800
1-nov-19;3.09;589.800
4-nov-19;3.3;1.294.500
5-nov-19;3.29;1.113.500
6-nov-19;3.28;441.700
7-nov-19;3.4;1.056.600
8-nov-19;3.38;546.300
11-nov-19;3.43;444.100
12-nov-19;3.46;584.400
13-nov-19;3.39;484.000
14-nov-19;3.41;482.000
18-nov-19;3.4;511.000
19-nov-19;3.39;345.700
21-nov-19;3.45;408.200
22-nov-19;3.42;1.024.600
25-nov-19;3.38;707.700
26-nov-19;3.39;705.000
27-nov-19;3.5;695.700
28-nov-19;3.42;648.200
29-nov-19;3.43;510.300
2-dez-19;3.5;480.100
3-dez-19;3.56;657.000
4-dez-19;3.53;771.100
5-dez-19;3.58;664.000
6-dez-19;3.6;562.100
9-dez-19;3.5;1.572.500
10-dez-19;3.56;865.100
11-dez-19;3.59;569.400
12-dez-19;3.63;680.000
